06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:1457 CSNK2A1; casein kinase 2 alpha 1
  hsa:1460 CSNK2B; casein kinase 2 beta
  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
 
06462 Spinocerebellar ataxia (36)

  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:6712 SPTBN2; spectrin beta, non-erythrocytic 2
  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:3746 KCNC1; potassium voltage-gated channel subfamily C member 1
  hsa:3751 KCND2; potassium voltage-gated channel subfamily D member 2
  hsa:3752 KCND3; potassium voltage-gated channel subfamily D member 3
  hsa:5649 RELN; reelin
  hsa:7436 VLDLR; very low density lipoprotein receptor
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:6095 RORA; RAR related orphan receptor A
  hsa:10524 KAT5; lysine acetyltransferase 5
 
06240 Transcription (35)

  hsa:1436 CSF1R; colony stimulating factor 1 receptor
  hsa:8864 PER2; period circadian regulator 2
  hsa:7704 ZBTB16; zinc finger and BTB domain containing 16
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:5087 PBX1; PBX homeobox 1
  hsa:25942 SIN3A; SIN3 transcription regulator family member A
  hsa:9611 NCOR1; nuclear receptor corepressor 1
  hsa:4297 KMT2A; lysine methyltransferase 2A
  hsa:1025 CDK9; cyclin dependent kinase 9
  hsa:4208 MEF2C; myocyte enhancer factor 2C
  hsa:221037 JMJD1C; jumonji domain containing 1C
  hsa:7403 KDM6A; lysine demethylase 6A
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:2138 EYA1; EYA transcriptional coactivator and phosphatase 1
  hsa:2892 GRIA3; glutamate ionotropic receptor AMPA type subunit 3
  hsa:2530 FUT8; fucosyltransferase 8
  hsa:64919 BCL11B; BAF chromatin remodeling complex subunit BCL11B
  hsa:8861 LDB1; LIM domain binding 1
  hsa:894 CCND2; cyclin D2
  hsa:4094 MAF; MAF bZIP transcription factor
  hsa:7468 NSD2; nuclear receptor binding SET domain protein 2
  hsa:3020 H3-3A; H3.3 histone A
  hsa:H3F3A 
  hsa:6469 SHH; sonic hedgehog signaling molecule
  hsa:7849 PAX8; paired box 8
  hsa:7030 TFE3; transcription factor binding to IGHM enhancer 3
  hsa:2078 ERG; ETS transcription factor ERG
  hsa:7850 IL1R2; interleukin 1 receptor type 2
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:9915 ARNT2; aryl hydrocarbon receptor nuclear translocator 2
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:7102 TSPAN7; tetraspanin 7
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:4613 MYCN; MYCN proto-oncogene, bHLH transcription factor
  hsa:4914 NTRK1; neurotrophic receptor tyrosine kinase 1
 
06150 Cytokine-cytokine receptor interaction (viruses) (34)

  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:5743 PTGS2; prostaglandin-endoperoxide synthase 2
  hsa:1524 CX3CR1; C-X3-C motif chemokine receptor 1
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:2775 GNAO1; G protein subunit alpha o1
  hsa:1436 CSF1R; colony stimulating factor 1 receptor
 
06135 Cytoskeletal regulation (viruses and bacteria) (33)

  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:10207 PATJ; PATJ crumbs cell polarity complex component
  hsa:100506658 OCLN; occludin
  hsa:60 ACTB; actin beta
  hsa:71 ACTG1; actin gamma 1
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:1793 DOCK1; dedicator of cytokinesis 1
  hsa:8936 WASF1; WASP family member 1
  hsa:23191 CYFIP1; cytoplasmic FMR1 interacting protein 1
  hsa:26999 CYFIP2; cytoplasmic FMR1 interacting protein 2
  hsa:10787 NCKAP1; NCK associated protein 1
  hsa:998 CDC42; cell division cycle 42
  hsa:375 ARF1; ADP ribosylation factor 1
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:7094 TLN1; talin 1
  hsa:81 ACTN4; actinin alpha 4
  hsa:79026 AHNAK; AHNAK nucleoprotein
 
06015 N-Glycan biosynthesis (32)

  hsa:79947 DHDDS; dehydrodolichyl diphosphate synthase subunit
  hsa:116150 NUS1; NUS1 dehydrodolichyl diphosphate synthase subunit
  hsa:79644 SRD5A3; steroid 5 alpha-reductase 3
  hsa:22845 DOLK; dolichol kinase
  hsa:1798 DPAGT1; dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
  hsa:79868 ALG13; ALG13 UDP-N-acetylglucosaminyltransferase subunit
  hsa:56052 ALG1; ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
  hsa:85365 ALG2; ALG2 alpha-1,3/1,6-mannosyltransferase
  hsa:440138 ALG11; ALG11 alpha-1,2-mannosyltransferase
  hsa:4351 MPI; mannose phosphate isomerase
  hsa:5373 PMM2; phosphomannomutase 2
  hsa:29925 GMPPB; GDP-mannose pyrophosphorylase B
  hsa:29926 GMPPA; GDP-mannose pyrophosphorylase A
  hsa:8813 DPM1; dolichyl-phosphate mannosyltransferase subunit 1, catalytic
  hsa:91869 RFT1; RFT1 homolog
  hsa:10195 ALG3; ALG3 alpha-1,3- mannosyltransferase
  hsa:79796 ALG9; ALG9 alpha-1,2-mannosyltransferase
  hsa:79087 ALG12; ALG12 alpha-1,6-mannosyltransferase
  hsa:7360 UGP2; UDP-glucose pyrophosphorylase 2
  hsa:29929 ALG6; ALG6 alpha-1,3-glucosyltransferase
  hsa:79053 ALG8; ALG8 alpha-1,3-glucosyltransferase
  hsa:201595 STT3B; STT3 oligosaccharyltransferase complex catalytic subunit B
  hsa:3703 STT3A; STT3 oligosaccharyltransferase complex catalytic subunit A
  hsa:1650 DDOST; dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
  hsa:7991 TUSC3; tumor suppressor candidate 3
  hsa:7841 MOGS; mannosyl-oligosaccharide glucosidase
  hsa:11253 MAN1B1; mannosidase alpha class 1B member 1
  hsa:4247 MGAT2; alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
  hsa:2530 FUT8; fucosyltransferase 8
  hsa:2683 B4GALT1; beta-1,4-galactosyltransferase 1
  hsa:55343 SLC35C1; solute carrier family 35 member C1
  hsa:7355 SLC35A2; solute carrier family 35 member A2
 
06270 Breast cancer (32)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:2100 ESR2; estrogen receptor 2
  hsa:8648 NCOA1; nuclear receptor coactivator 1
  hsa:10499 NCOA2; nuclear receptor coactivator 2
  hsa:1509 CTSD; cathepsin D
 
06161 Human immunodeficiency virus type 1 (HIV-1) (30)

  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:891 CCNB1; cyclin B1
  hsa:8450 CUL4B; cullin 4B
 
06162 Hepatitis B virus (HBV) (30)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:4089 SMAD4; SMAD family member 4
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:1960 EGR3; early growth response 3
 
06160 Human T-cell leukemia virus 1 (HTLV-1) (29)

  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:4089 SMAD4; SMAD family member 4
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:891 CCNB1; cyclin B1
  hsa:701 BUB1B; BUB1 mitotic checkpoint serine/threonine kinase B
  hsa:64682 ANAPC1; anaphase promoting complex subunit 1
  hsa:8295 TRRAP; transformation/transcription domain associated protein
  hsa:10524 KAT5; lysine acetyltransferase 5
  hsa:3115 HLA-DPB1; major histocompatibility complex, class II, DP beta 1
  hsa:3123 HLA-DRB1; major histocompatibility complex, class II, DR beta 1
  hsa:7015 TERT; telomerase reverse transcriptase
 
06410 Calcium signaling (29)

  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:6712 SPTBN2; spectrin beta, non-erythrocytic 2
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:6262 RYR2; ryanodine receptor 2
  hsa:3064 HTT; huntingtin
  hsa:1128 CHRM1; cholinergic receptor muscarinic 1
  hsa:1131 CHRM3; cholinergic receptor muscarinic 3
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:6804 STX1A; syntaxin 1A
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:1742 DLG4; discs large MAGUK scaffold protein 4
 
06261 Gastric cancer (27)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:4089 SMAD4; SMAD family member 4
  hsa:7015 TERT; telomerase reverse transcriptase
  hsa:6469 SHH; sonic hedgehog signaling molecule
 
06163 Hepatitis C virus (HCV) (26)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:7531 YWHAE; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06168 Herpes simplex virus 1 (HSV-1) (26)

  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:64135 IFIH1; interferon induced with helicase C domain 1
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:8890 EIF2B4; eukaryotic translation initiation factor 2B subunit delta
  hsa:8893 EIF2B5; eukaryotic translation initiation factor 2B subunit epsilon
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
  hsa:11326 VSIG4; V-set and immunoglobulin domain containing 4
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:3115 HLA-DPB1; major histocompatibility complex, class II, DP beta 1
  hsa:3123 HLA-DRB1; major histocompatibility complex, class II, DR beta 1
  hsa:6426 SRSF1; serine and arginine rich splicing factor 1
  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:3054 HCFC1; host cell factor C1
 
06170 Influenza A virus (IAV) (25)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
