genes,count,samples,KEGG_entry_ID,name
FREM1,9,"{'20A0002478': 1, '19PA009426': 2, 'DS184317': 1, '19CT034641': 1, '18PA004715': 1, '19CT031559': 2, '19CT031909': 1}",hsa:158326,FRAS1 related extracellular matrix 1
PLCG2,9,"{'19CT048087': 1, '19PA009450': 2, 'DS184317': 1, '20A0004327': 1, '19CT034643': 1, '20A0004401': 1, '20A0004025': 1, '19CT041822': 1}",hsa:5336,phospholipase C gamma 2
NAV2,9,"{'19PA009450': 1, '19CT040732': 1, '19CT028732': 1, '18PA006387': 1, '19CT041295': 1, '19CT039890': 1, '19CT034643': 1, '18PA004940': 1, '20A0004025': 1}",hsa:89797,neuron navigator 2
TKT,9,"{'19CT040719': 1, '19CT024233': 1, '20A0004392': 2, '19CT013554': 2, '19CT046414': 1, '19CT039201': 1, '19CT041822': 1}",hsa:7086,transketolase
ATP5F1A,9,"{'19CT030002': 1, '19CT036423': 2, '20A0000620': 1, '18PA008847': 1, '19CT039895': 2, '19CT034643': 1, '19CT016404': 1}",hsa:498,ATP synthase F1 subunit alpha
KMT2C,9,"{'20A0004325': 1, '19CT024233': 1, '19CT024296': 1, '19CT024299': 1, '20A0004327': 1, '19CT031909': 1, '19PA009214': 1, '20A0004025': 1, '19CT041822': 1}",hsa:58508,lysine methyltransferase 2C
COL28A1,9,"{'19CT036423': 1, '18PA004934': 1, '19CT034845': 1, '18PA006387': 1, '19PA009444': 1, '18PA004715': 1, '20A0004327': 1, '19CT031909': 1, '20A0004030': 1}",hsa:340267,collagen type XXVIII alpha 1 chain
PCM1,9,"{'19CT040719': 1, '20A0002973': 1, '19CT016837': 1, '19CT024233': 1, '19CT040892': 1, '20A0004392': 2, '20A0008697': 1, '20A0000618': 1}",hsa:5108,pericentriolar material 1
SLC4A4,9,"{'19PA009450': 1, '19CT040732': 1, '20A0008882': 1, '18PA006387': 1, '19CT041295': 1, '19CT024296': 1, '19CT039890': 1, '19CT046414': 1, '20A0004401': 1}",hsa:8671,solute carrier family 4 member 4
RTTN,9,"{'19PA009450': 1, '19CT040732': 1, 'DS187051': 1, 'DS184317': 1, '19PA009666': 1, '19CT039196': 2, '19PA009669': 1, '20A0001282': 1}",hsa:25914,rotatin
RBM6,9,"{'19PA009450': 1, '19CT013554': 2, '19CT039196': 1, '18PA004715': 3, '19PA009214': 1, '19CT039201': 1}",,
SHANK2,9,"{'19CT034631': 2, '19CT030002': 1, '19CT046641': 1, '19CT024233': 1, '20A0004217': 1, '19PA009666': 1, '19CT039196': 1, '20A0004327': 1}",hsa:22941,SH3 and multiple ankyrin repeat domains 2
MCPH1,9,"{'20A0002478': 1, '19CT040732': 1, '20A0004392': 2, '18PA004616': 1, '19CT041747': 1, '19CT031559': 1, '19CT031909': 1, '20A0004030': 1}",hsa:79648,microcephalin 1
LRP1,9,"{'19CT020478': 1, '20A0004325': 1, '19CT036423': 1, '19CT024233': 1, '18PA008847': 1, '20A0008697': 1, '19CT045844': 1, '20A0002063': 1, '19CT021756': 1}",hsa:4035,LDL receptor related protein 1
PNPLA7,9,"{'20A0002478': 2, '19CT040892': 1, '20A0002445': 1, '19CT024296': 1, '19CT024299': 1, '20A0007427': 1, '19CT031559': 2}",hsa:375775,patatin like phospholipase domain containing 7
UNC80,9,"{'19CT051360': 1, '19CT044120': 1, '19PA009450': 1, '20A0002973': 1, '18PA004616': 1, '19CT044501': 1, '19CT024234': 1, '19PA009669': 1, '19CT024299': 1}",hsa:285175,"unc-80 homolog, NALCN channel complex subunit"
SCN4A,9,"{'19CT046369': 2, '19CT040719': 1, '20A0002478': 1, '19CT030002': 1, '19CT044566': 1, '19PA009666': 1, '18PA004616': 1, '19CT041822': 1}",hsa:6329,sodium voltage-gated channel alpha subunit 4
TSPOAP1,9,"{'19CT034631': 1, '20A0002478': 1, '20A0002973': 1, '19CT040732': 1, '19CT024233': 1, '19PA009666': 1, '19CT041295': 1, '19CT041747': 1, '20A0007427': 1}",hsa:9256,TSPO associated protein 1
ACACB,9,"{'19CT046369': 1, '20A0004325': 1, '20A0008882': 1, '19CT024233': 1, '20A0004217': 1, '20A0004392': 2, '19CT031909': 1, '19CT039201': 1}",hsa:32,acetyl-CoA carboxylase beta
CENPJ,9,"{'19CT040719': 1, '20A0002478': 1, 'DS187051': 1, '20A0004325': 1, '19CT036423': 1, '20A0004217': 1, '19CT036523': 1, '19CT031559': 1, '19CT016403': 1}",hsa:55835,centromere protein J
PCDHA5,9,"{'19CT051360': 1, '19CT048087': 1, '19CT046369': 1, 'DS187051': 1, '19CT036423': 1, '19CT024233': 1, '20A0007427': 1, '19CT016404': 1, '19CT021756': 1}",hsa:56143,protocadherin alpha 5
TET2,9,"{'19PA009450': 1, '19CT040732': 1, '19CT024234': 1, '19CT041747': 1, '19CT031559': 1, '20A0004025': 1, '19CT014597': 1, '20A0002063': 1, '20A0000618': 1}",hsa:54790,tet methylcytosine dioxygenase 2
KMT2B,9,"{'19CT051360': 1, '19CT034631': 1, '19CT030002': 1, 'DS187051': 1, '20A0004325': 1, '19CT036523': 2, '18PA004715': 1, '19PA009214': 1}",hsa:9757,lysine methyltransferase 2B
NFE2L3,9,"{'19CT039895': 1, '18PA006387': 1, '19CT013554': 1, '19CT024234': 1, '19CT039890': 1, '19CT041747': 1, '20A0001282': 1, '19CT031909': 1, '19CT021756': 1}",hsa:9603,NFE2 like bZIP transcription factor 3
MACF1,9,"{'19CT030702': 1, '20A0008882': 1, '20A0008698': 1, 'DS184317': 1, '19CT036523': 1, '19CT013554': 1, '18PA004715': 1, '19CT044338': 1, '20A0008696': 1}",hsa:23499,microtubule actin crosslinking factor 1
UNC13A,8,"{'19CT034631': 1, '20A0008882': 1, '19CT028732': 1, '19CT034641': 1, '19PA009666': 1, '19PA009669': 1, '20A0000412': 1, '19CT045844': 1}",hsa:23025,unc-13 homolog A
HIVEP3,8,"{'19CT048087': 1, '19CT040719': 1, '20A0004325': 1, '20A0004217': 1, '20A0000620': 1, '19CT039890': 1, '19CT031909': 1, '19CT014597': 1}",hsa:59269,HIVEP zinc finger 3
SMG6,8,"{'19CT030002': 1, '19CT024233': 1, '18PA008847': 1, '19CT044501': 1, '18PA004715': 1, '20A0002445': 1, '18PA004940': 1, '19CT021756': 1}",hsa:23293,SMG6 nonsense mediated mRNA decay factor
IL1R2,8,"{'19CT051360': 1, '20A0008882': 1, '20A0004392': 1, '19CT036523': 1, '19CT044501': 1, '19CT041747': 1, '20A0007427': 1, '19CT046414': 1}",hsa:7850,interleukin 1 receptor type 2
RALGAPB,8,"{'19CT024233': 2, '20A0008698': 1, '19CT039895': 1, '19CT039196': 1, '19CT039890': 1, '20A0002063': 1, '19CT021756': 1}",,
KDM5A,8,"{'20A0002478': 1, '19CT030702': 1, 'DS184317': 1, '20A0004392': 1, '19CT041295': 1, '18PA004715': 1, '20A0004025': 1, '20A0004030': 1}",hsa:5927,lysine demethylase 5A
MPDZ,8,"{'19CT030702': 1, '19CT024854': 1, '19CT034641': 1, '20A0008697': 1, '19CT041747': 1, '19CT034643': 1, '19CT016403': 1, '20A0004030': 1}",hsa:8777,multiple PDZ domain crumbs cell polarity complex component
APC2,8,"{'19CT016837': 1, '19PA009444': 1, '19CT024234': 1, '18PA004715': 1, '19CT044338': 1, '20A0007427': 1, '19CT045844': 1, '19CT021756': 1}",hsa:10297,APC regulator of WNT signaling pathway 2
NCAPG2,8,"{'19CT046641': 1, '19CT036523': 2, '19CT024234': 1, '19CT044338': 1, '20A0007427': 2, '20A0004025': 1}",hsa:54892,non-SMC condensin II complex subunit G2
KATNIP,8,"{'19CT046369': 1, '19PA009450': 1, '19CT040732': 1, '19CT024854': 1, '20A0008698': 1, '20A0004392': 1, '20A0001282': 1, '19CT039201': 1}",hsa:23247,katanin interacting protein
TP53BP1,8,"{'19CT046369': 1, '19CT030702': 1, '19PA009426': 1, '19CT040892': 1, '18PA004934': 1, '19CT039895': 1, '19CT024296': 1, '19CT039890': 1}",hsa:7158,tumor protein p53 binding protein 1
FANCA,8,"{'19CT040719': 2, 'DS187051': 1, '20A0008882': 1, '20A0004217': 1, '20A0004327': 1, '20A0008697': 1, '19CT045844': 1}",hsa:2175,FA complementation group A
TMEM63A,8,"{'19CT028732': 1, '19CT034641': 1, '18PA004934': 1, '19CT039196': 1, '19CT024234': 2, '20A0004025': 1, '19CT021756': 1}",hsa:9725,transmembrane protein 63A
KANK1,8,"{'19CT046369': 1, '19CT030002': 1, '19CT052347': 1, '19CT039196': 1, '19CT024234': 1, '19CT044338': 1, '20A0001282': 1, '19CT021756': 1}",hsa:23189,KN motif and ankyrin repeat domains 1
GJB2,8,"{'20A0004325': 1, '19CT024854': 1, '20A0004217': 1, '20A0004327': 1, '19CT031559': 1, '19CT031909': 1, '20A0002063': 1, '20A0000618': 1}",hsa:2706,gap junction protein beta 2
IFIH1,8,"{'19CT040719': 1, '20A0002973': 1, '19CT034641': 1, '19CT035369': 1, '19CT052347': 1, '19CT041295': 1, '18PA004715': 1, '19CT046414': 1}",hsa:64135,interferon induced with helicase C domain 1
TENM2,8,"{'19CT046369': 1, '19CT036423': 1, '18PA004934': 1, '19CT044501': 1, '19CT034845': 1, '20A0002445': 1, '18PA004940': 1, '19CT045844': 1}",hsa:57451,teneurin transmembrane protein 2
LAMC3,8,"{'19CT051360': 1, '19CT048087': 1, '19CT036423': 1, '18PA008847': 1, '19CT036523': 1, '18PA004715': 1, '19CT016404': 1, '20A0004030': 1}",hsa:10319,laminin subunit gamma 3
WDFY4,8,"{'19CT051360': 1, '19CT044120': 1, '19CT028732': 1, '18PA004616': 1, '18PA006387': 2, '19PA009444': 1, '20A0004025': 1}",hsa:57705,WDFY family member 4
SOS1,8,"{'19CT046369': 1, '19CT030002': 1, '20A0004392': 1, '19PA009444': 2, '19CT034643': 1, '20A0004401': 1, '19CT045844': 1}",hsa:6654,SOS Ras/Rac guanine nucleotide exchange factor 1
ELP2,8,"{'19CT024854': 1, '19CT028732': 1, '19CT024233': 1, 'DS184317': 1, '19CT036523': 1, '20A0002445': 1, '20A0007427': 1, '19CT021756': 1}",hsa:55250,elongator acetyltransferase complex subunit 2
CHD8,8,"{'19CT044751': 1, '19CT030002': 2, '19CT044501': 1, '19PA009444': 1, '20A0007427': 1, '19CT031559': 1, '20A0000618': 1}",hsa:57680,chromodomain helicase DNA binding protein 8
CDT1,8,"{'20A0002973': 1, '18PA004715': 2, '20A0002445': 1, '19CT041747': 1, '19CT031909': 1, '19CT039201': 1, '19CT041822': 1}",hsa:81620,chromatin licensing and DNA replication factor 1
COL4A2,8,"{'19CT048087': 2, '20A0008698': 1, '19CT013554': 1, '20A0002445': 2, '19CT044338': 1, '20A0008696': 1}",hsa:1284,collagen type IV alpha 2 chain
NHS,8,"{'19CT046369': 1, '19CT020478': 1, '19CT044338': 1, '19CT041747': 1, '19CT046414': 1, '19CT034643': 1, '20A0000618': 1, '19CT041822': 1}",hsa:4810,NHS actin remodeling regulator
CAMTA1,8,"{'19PA009450': 1, '19CT030002': 1, '20A0008698': 1, '19PA009666': 1, '19CT044338': 1, '19CT034643': 1, '20A0008696': 1, '19CT039201': 1}",hsa:23261,calmodulin binding transcription activator 1
RIF1,8,"{'19PA009450': 1, '19CT046641': 1, '19CT036523': 2, '19CT044501': 1, '19CT052347': 1, '18PA004715': 1, '20A0007427': 1}",hsa:55183,replication timing regulatory factor 1
AKAP9,8,"{'19CT036423': 1, '19CT024854': 1, '19CT044566': 1, '20A0008698': 2, 'DS184317': 1, '20A0008696': 2}",hsa:10142,A-kinase anchoring protein 9
TAF6,8,"{'19CT048087': 1, '19CT016837': 1, '19CT024854': 1, '19CT034641': 1, '19CT039196': 1, '19CT024299': 1, '18PA004940': 1, '20A0004030': 1}",hsa:6878,TATA-box binding protein associated factor 6
KALRN,8,"{'19CT044120': 1, 'DS187051': 2, '19CT044566': 2, '18PA004616': 1, '19CT044501': 1, '19CT046414': 1}",hsa:8997,kalirin RhoGEF kinase
AHCTF1,8,"{'19CT051360': 1, '19CT034631': 1, '19PA009450': 1, '19PA009426': 1, '19CT034641': 1, '20A0004401': 1, '20A0002063': 1, '20A0000618': 1}",hsa:25909,AT-hook containing transcription factor 1
SRRM2,8,"{'19PA009426': 1, '19CT024854': 2, '19CT046641': 1, '19PA009666': 1, '18PA004934': 1, '19CT031559': 1, '19CT031909': 1}",hsa:23524,serine/arginine repetitive matrix 2
SON,8,"{'19CT051360': 1, '19CT030002': 1, 'DS184317': 2, '20A0004392': 1, '19CT024299': 1, '19CT016403': 1, '19CT041822': 1}",hsa:6651,SON DNA and RNA binding protein
CASZ1,8,"{'19CT034631': 1, '20A0004325': 1, '20A0004217': 1, '18PA008847': 1, '19PA009669': 2, '19CT045844': 1, '19CT016403': 1}",hsa:54897,castor zinc finger 1
USP9Y,8,"{'19CT044120': 1, '19CT030702': 1, '19PA009666': 1, '19CT034845': 1, '19CT039196': 1, '19PA009669': 1, '19CT024296': 1, '19CT016404': 1}",hsa:8287,ubiquitin specific peptidase 9 Y-linked
KMT2D,8,"{'19CT020478': 1, '20A0008882': 1, '19CT036423': 1, 'DS184317': 2, '19CT044501': 2, '20A0000412': 1}",hsa:8085,lysine methyltransferase 2D
CCDC88C,8,"{'19CT044120': 1, '19CT048087': 1, '19PA009444': 1, '20A0000412': 1, '19CT039890': 1, '19CT030925': 2, '19CT041747': 1}",hsa:440193,coiled-coil domain containing 88C
SBF1,8,"{'19PA009450': 1, '19CT030702': 1, '19CT044501': 1, '19CT024299': 1, '20A0008697': 1, '19CT046414': 2, '19CT045844': 1}",hsa:6305,SET binding factor 1
SASH1,8,"{'19CT036423': 1, 'DS184317': 1, '18PA008847': 1, '19CT040892': 1, '19CT031559': 1, '19CT046414': 1, '19CT034643': 1, '19CT016404': 1}",hsa:23328,SAM and SH3 domain containing 1
PHLPP1,8,"{'19CT044120': 1, '19CT052347': 1, '19CT039196': 1, '18PA004715': 3, '20A0004327': 1, '18PA004940': 1}",hsa:23239,PH domain and leucine rich repeat protein phosphatase 1
LIG4,7,"{'19CT048087': 1, '20A0002478': 2, '19CT024296': 1, '19CT024299': 1, '20A0004401': 1, '19CT031909': 1}",hsa:3981,DNA ligase 4
PIEZO2,7,"{'19CT044751': 2, '18PA004934': 1, '19CT052347': 1, '19CT031559': 1, '20A0004025': 1, '19CT041822': 1}",hsa:63895,piezo type mechanosensitive ion channel component 2
SLC38A10,7,"{'19CT046369': 1, '19CT044751': 1, '20A0004392': 1, '19CT039196': 2, '19CT024234': 1, '20A0007427': 1}",hsa:124565,solute carrier family 38 member 10
SUSD4,7,"{'19CT044120': 1, 'DS187051': 1, '20A0004325': 1, '19PA009426': 1, '19CT046641': 1, '19CT013554': 1, '19CT041822': 1}",hsa:55061,sushi domain containing 4
CACNA1I,7,"{'19CT046369': 1, '19CT024854': 1, '19CT028732': 1, '20A0008698': 1, '20A0002445': 1, '20A0000412': 1, '20A0004401': 1}",hsa:8911,calcium voltage-gated channel subunit alpha1 I
PTCH1,7,"{'20A0002478': 1, '19CT039895': 1, '20A0004327': 1, '20A0008697': 1, '19CT039890': 1, '20A0008696': 1, '19CT039201': 1}",hsa:5727,patched 1
SHANK1,7,"{'20A0000620': 2, '19CT036523': 1, '19CT039895': 1, '18PA006387': 1, '19CT041295': 1, '19CT039890': 1}",hsa:50944,SH3 and multiple ankyrin repeat domains 1
PRUNE2,7,"{'19CT034641': 1, '20A0004392': 1, '18PA004616': 2, '19CT024296': 1, '19CT024299': 1, '19CT016404': 1}",,
TET3,7,"{'18PA008847': 1, '20A0004392': 1, '19PA009444': 1, '20A0000412': 1, '19CT034643': 1, '20A0001282': 1, '20A0004030': 1}",hsa:200424,tet methylcytosine dioxygenase 3
ALDH7A1,7,"{'20A0002478': 1, '19CT024854': 1, '20A0008698': 1, '19CT040892': 1, '19CT036523': 1, '20A0007427': 1, '20A0008696': 1}",hsa:501,aldehyde dehydrogenase 7 family member A1
MEGF8,7,"{'20A0008882': 1, '19CT024233': 1, '19CT039895': 1, '20A0000412': 1, '19CT039890': 1, '19CT030925': 1, '20A0004030': 1}",hsa:1954,multiple EGF like domains 8
GEMIN4,7,"{'19CT028732': 1, '19CT034845': 1, '19CT024296': 1, '19CT024299': 1, '20A0004327': 1, '19CT030925': 1, '20A0007427': 1}",hsa:50628,gem nuclear organelle associated protein 4
ZSWIM6,7,"{'19CT040732': 1, '19CT036523': 2, '19CT031559': 1, '19CT045844': 1, '19CT014597': 1, '19CT021756': 1}",hsa:57688,zinc finger SWIM-type containing 6
KDM4C,7,"{'19CT030002': 1, '19PA009666': 1, '19CT044338': 1, '19PA009669': 1, '20A0004401': 1, '20A0004025': 1, '19CT039201': 1}",hsa:23081,lysine demethylase 4C
GLIS3,7,"{'20A0004325': 1, '20A0008882': 1, '19CT036423': 1, '19CT040892': 1, '19CT036523': 1, '20A0004401': 1, '20A0001282': 1}",hsa:169792,GLIS family zinc finger 3
ASXL2,7,"{'20A0004217': 1, '19CT034641': 1, '19CT024296': 2, '19CT024299': 2, '20A0004327': 1}",hsa:55252,ASXL transcriptional regulator 2
KIAA0232,7,"{'19CT046369': 1, '20A0002478': 1, '19PA009450': 1, '20A0004325': 1, 'DS184317': 1, '19CT034641': 1, '18PA006387': 1}",hsa:9778,Predicted to enable ATP binding activity
WDFY3,7,"{'19CT046369': 1, '19CT030702': 2, '20A0002445': 1, '19CT039890': 1, '20A0004025': 1, '19CT014597': 1}",hsa:23001,WD repeat and FYVE domain containing 3
PIGT,7,"{'19CT044120': 1, '19CT048087': 1, '19CT028732': 1, '20A0004392': 1, '19CT036523': 1, '19CT034643': 1, '20A0004401': 1}",hsa:51604,phosphatidylinositol glycan anchor biosynthesis class T
NCOA6,7,"{'19CT044120': 1, '19CT041295': 1, '19PA009444': 3, '19CT041747': 2}",hsa:23054,nuclear receptor coactivator 6
IFT172,7,"{'19CT028732': 1, '19CT039895': 1, '20A0000412': 1, '19CT039890': 2, '19CT031909': 2}",hsa:26160,intraflagellar transport 172
TMEM94,7,"{'19CT046641': 1, '19CT035369': 1, '18PA004715': 3, '19PA009214': 2}",,
SETBP1,7,"{'19CT044120': 1, '19CT035369': 1, '19CT013554': 1, '19PA009444': 1, '19CT046414': 1, '19CT034643': 1, '19CT016404': 1}",hsa:26040,SET binding protein 1
CACNA1G,7,"{'19CT052347': 1, '19CT044338': 1, '19CT024296': 1, '19CT024299': 1, '20A0004327': 1, '20A0007427': 1, '20A0002063': 1}",hsa:8913,calcium voltage-gated channel subunit alpha1 G
FGFR2,7,"{'19CT046369': 1, '20A0002973': 1, '19CT030702': 1, '19CT030002': 1, 'DS187051': 1, '19CT028732': 1, 'DS184317': 1}",hsa:2263,fibroblast growth factor receptor 2
PTPN23,7,"{'19CT051360': 1, 'DS184317': 1, '19CT013554': 1, '19CT024234': 1, '19PA009669': 1, '19CT031559': 1, '19CT014597': 1}",K18040,tyrosine-protein phosphatase non-receptor type 23
SENP6,7,"{'19CT048087': 1, '19CT030702': 1, '19CT036423': 1, '20A0004217': 1, '18PA004934': 1, '19PA009669': 1, '20A0004327': 1}",hsa:26054,SUMO specific peptidase 6
ARFGEF1,7,"{'19PA009450': 1, '19CT030002': 1, 'DS187051': 1, '20A0000620': 1, '19CT040892': 1, '18PA004934': 1, '19CT041822': 1}",hsa:10565,ADP ribosylation factor guanine nucleotide exchange factor 1
MYO16,7,"{'19CT034631': 1, '19CT046369': 1, '19CT030702': 1, '20A0008882': 1, '19CT036523': 1, '19CT044501': 1, '18PA004940': 1}",hsa:23026,myosin XVI
EPG5,7,"{'19CT034631': 1, '19CT034641': 2, '19CT044501': 1, '20A0004327': 1, '19CT031909': 1, '20A0004025': 1}",hsa:57724,ectopic P-granules 5 autophagy tethering factor
SPG11,7,"{'20A0002478': 1, '19CT036423': 1, '20A0000620': 1, '19CT041295': 1, '18PA004715': 1, '19CT030925': 1, '19CT014597': 1}",hsa:80208,"SPG11 vesicle trafficking associated, spatacsin"
ACE,7,"{'19CT030002': 1, '20A0008698': 1, '19CT036523': 2, '19CT044338': 1, '20A0000412': 1, '20A0002063': 1}",hsa:1636,angiotensin I converting enzyme
SMARCA2,7,"{'19CT044120': 1, '19CT040719': 1, '19CT036523': 1, '19PA009444': 2, '20A0007427': 1, '19CT046414': 1}",hsa:6595,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
PCDHA4,7,"{'19CT020478': 1, '19CT034641': 1, '19CT036523': 1, '18PA004934': 1, '19CT044501': 1, '20A0008697': 1, '19CT041822': 1}",hsa:56144,protocadherin alpha 4
ATN1,7,"{'19CT030002': 1, '19PA009426': 1, '19CT024854': 1, '19CT039895': 1, '18PA006387': 1, '19CT041747': 1, '19CT034643': 1}",,
FASTKD2,7,"{'19CT048087': 1, '19CT040732': 1, '20A0004325': 1, '20A0004217': 1, '19PA009444': 1, '20A0001282': 1, '20A0000618': 1}",hsa:22868,FAST kinase domains 2
SKIDA1,7,"{'19CT044120': 1, '19CT044751': 1, '19CT030002': 2, '18PA004616': 1, '19CT052347': 1, '19CT039196': 1}",hsa:387640,SKI/DACH domain-containing protein 1
PLXNA1,7,"{'19CT048087': 2, 'DS184317': 2, '18PA004934': 1, '19PA009444': 1, '18PA004940': 1}",hsa:5361,plexin A1
COG8,7,"{'20A0002478': 1, '19CT040732': 1, '20A0004325': 2, '20A0004217': 1, '19CT024299': 1, '20A0004327': 1}",hsa:84342,component of oligomeric golgi complex 8
SKI,7,"{'20A0004325': 1, '19CT036423': 1, '19CT024233': 1, '20A0004217': 1, '18PA008847': 1, '19CT021756': 1, '20A0000618': 1}",,
CCDC22,7,"{'19CT024233': 1, '20A0008698': 1, '18PA008847': 1, '19CT041295': 1, '19PA009444': 1, '20A0008696': 1, '19CT039201': 1}",hsa:28952,coiled-coil domain containing 22
RABL6,7,"{'19CT030702': 1, '20A0008882': 1, '19CT024233': 1, '19PA009666': 1, '19CT036523': 1, '19CT052347': 1, '19PA009669': 1}",,
CPZ,7,"{'19CT044566': 1, '19PA009666': 1, '19PA009444': 1, '19PA009669': 1, '19CT024296': 1, '20A0000412': 1, '20A0004030': 1}",hsa:8532,carboxypeptidase Z
CUX1,7,"{'19CT036423': 1, '20A0000620': 1, '19CT041295': 1, '19PA009444': 1, '19CT024299': 1, '19CT030925': 1, '19CT041822': 1}",hsa:1523,cut like homeobox 1
COL27A1,6,"{'19PA009426': 1, '19CT036423': 1, '20A0004392': 1, '19CT024299': 1, '19CT031909': 1, '19CT014597': 1}",hsa:85301,collagen type XXVII alpha 1 chain
FGA,6,"{'19CT044120': 1, '19CT040732': 1, '19CT036423': 1, '20A0000620': 2, '19CT031559': 1}",hsa:2243,fibrinogen alpha chain
CHD3,6,"{'19CT016837': 1, '19CT024854': 1, '20A0004217': 1, '20A0000620': 1, '18PA004934': 1, '20A0004327': 1}",hsa:1107,chromodomain helicase DNA binding protein 3
TSEN54,6,"{'19CT036423': 1, '19CT035369': 1, '19CT024296': 1, '19CT024299': 1, '19CT041747': 1, '19CT014597': 1}",hsa:283989,tRNA splicing endonuclease subunit 54
NUP188,6,"{'20A0008882': 1, '19PA009426': 1, '19CT044566': 2, '19CT046641': 1, '19CT040892': 1}",hsa:23511,nucleoporin 188
ACHE,6,"{'20A0002973': 1, 'DS184317': 1, '18PA008847': 1, '19CT035369': 1, '19CT013554': 1, '20A0004401': 1}",hsa:43,acetylcholinesterase (Cartwright blood group)
NPAS2,6,"{'19CT040719': 1, '20A0004217': 1, '20A0000620': 1, '20A0004327': 1, '19CT045844': 1, '19CT016403': 1}",hsa:4862,neuronal PAS domain protein 2
ATR,6,"{'20A0002478': 1, '19CT036423': 1, '19CT044566': 1, '19CT044501': 1, '20A0002445': 1, '20A0004401': 1}",hsa:545,ATR serine/threonine kinase
TAF1C,6,"{'19CT040719': 1, '19PA009426': 1, '19CT044566': 1, '19CT040892': 1, '19CT024296': 1, '19CT024299': 1}",hsa:9013,"TATA-box binding protein associated factor, RNA polymerase I subunit C"
GNAS,6,"{'19PA009666': 1, '19CT044501': 1, '18PA004715': 1, '19PA009669': 1, '19CT041822': 2}",hsa:2778,GNAS complex locus
FCSK,6,"{'19CT040719': 1, '20A0002478': 1, '20A0000620': 1, '19CT036523': 1, '19CT041747': 1, '20A0007427': 1}",hsa:197258,fucose kinase
CUL7,6,"{'19CT051360': 1, '20A0008698': 1, '20A0002445': 1, '19CT024296': 1, '19CT024299': 1, '20A0008696': 1}",hsa:9820,cullin 7
ERCC2,6,"{'19CT040732': 1, '20A0000620': 1, '19CT039895': 1, '19CT052347': 1, '19CT039890': 1, '19CT041747': 1}",hsa:2068,"ERCC excision repair 2, TFIIH core complex helicase subunit"
NUBPL,6,"{'20A0004325': 1, '20A0004217': 1, '18PA008847': 1, '20A0001282': 1, '19CT045844': 1, '19CT014597': 1}",hsa:80224,"NUBP iron-sulfur cluster assembly factor, mitochondrial"
APBB1,6,"{'19CT020478': 1, '19CT044566': 1, '19PA009666': 1, '18PA004715': 1, '19PA009669': 1, '19CT031909': 1}",hsa:322,amyloid beta precursor protein binding family B member 1
PCDHA3,6,"{'19CT051360': 1, '19CT048087': 1, '19CT046369': 1, '18PA004715': 1, '19PA009214': 1, '19CT041822': 1}",hsa:56145,protocadherin alpha 3
PER2,6,"{'19CT044120': 1, '19CT030702': 1, '20A0008882': 1, '20A0004392': 1, '19CT013554': 1, '19CT034643': 1}",hsa:8864,period circadian regulator 2
KIF1A,6,"{'19CT040732': 1, '20A0004325': 1, '18PA004616': 1, '19CT034845': 1, '18PA004715': 1, '19PA009214': 1}",hsa:547,kinesin family member 1A
AHDC1,6,"{'19CT030702': 1, '19CT024233': 1, '19PA009444': 1, '19CT024296': 1, '19CT024299': 1, '19CT031559': 1}",hsa:27245,AT-hook DNA binding motif containing 1
PER1,6,"{'19CT046369': 1, '19CT024233': 1, '18PA004616': 2, '19CT036523': 1, '20A0000618': 1}",hsa:5187,period circadian regulator 1
SPEN,6,"{'19CT030002': 2, '20A0004325': 1, '19CT028732': 1, '19PA009444': 1, '19CT024299': 1}",hsa:23013,spen family transcriptional repressor
CASKIN1,6,"{'19CT040719': 1, '20A0002478': 1, '19CT030002': 1, '19CT016837': 1, '18PA004616': 1, '19CT039895': 1}",hsa:57524,CASK interacting protein 1
TCTN3,6,"{'19CT044566': 2, '19CT028732': 2, '20A0000620': 2}",hsa:26123,tectonic family member 3
TRANK1,6,"{'19CT040719': 1, 'DS187051': 1, '19PA009444': 1, '20A0004327': 1, '20A0004401': 1, '20A0001282': 1}",hsa:9881,tetratricopeptide repeat and ankyrin repeat containing 1
TUBGCP6,6,"{'19CT040732': 1, '19PA009426': 1, '19CT036423': 1, '19CT039196': 1, '19CT044338': 1, '19CT041822': 1}",hsa:85378,tubulin gamma complex associated protein 6
ABCA2,6,"{'19CT024854': 1, '20A0004217': 1, '20A0000620': 1, '18PA008847': 1, '20A0004327': 1, '20A0008697': 1}",hsa:20,ATP binding cassette subfamily A member 2
SHROOM4,6,"{'20A0002478': 1, '20A0002445': 1, '19CT024296': 1, '19CT024299': 2, '19CT034643': 1}",hsa:57477,shroom family member 4
DMD,6,"{'20A0002478': 2, '19CT030702': 1, '19CT039196': 1, '19CT044338': 1, '19CT030925': 1}",hsa:1756,dystrophin
NEMF,6,"{'19CT044566': 1, '19CT036523': 1, '20A0007427': 1, '19CT031559': 2, '19CT016403': 1}",hsa:9147,nuclear export mediator factor
ASXL3,6,"{'19CT044566': 1, '18PA004616': 1, '19CT039196': 1, '20A0000412': 1, '19CT031909': 1, '20A0004025': 1}",hsa:80816,ASXL transcriptional regulator 3
