hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5898 RALA; RAS like proto-oncogene A
  hsa:58513 EPS15L1; epidermal growth factor receptor pathway substrate 15 like 1
  hsa:60684 TRAPPC11; trafficking protein particle complex subunit 11
  hsa:5862 RAB2A; RAB2A, member RAS oncogene family
  hsa:57589 RIC1; RIC1 homolog, RAB6A GEF complex partner 1
  hsa:6253 RTN2; reticulon 2
  hsa:57705 WDFY4; WDFY family member 4
  hsa:57724 EPG5; ectopic P-granules 5 autophagy tethering factor
  hsa:64130 LIN7B; lin-7 homolog B, crumbs cell polarity complex component
  hsa:6616 SNAP25; synaptosome associated protein 25
  hsa:6453 ITSN1; intersectin 1
  hsa:64601 VPS16; VPS16 core subunit of CORVET and HOPS complexes
  hsa:64801 ARV1; ARV1 homolog, fatty acid homeostasis modulator
  hsa:63895 PIEZO2; piezo type mechanosensitive ion channel component 2
  hsa:6857 SYT1; synaptotagmin 1
  hsa:6853 SYN1; synapsin I
  hsa:6854 SYN2; synapsin II
  hsa:6812 STXBP1; syntaxin binding protein 1
  hsa:6804 STX1A; syntaxin 1A
  hsa:6844 VAMP2; vesicle associated membrane protein 2
  hsa:7057 THBS1; thrombospondin 1
  hsa:714 C1QC; complement C1q C chain
  hsa:729092 AGAP5; ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
  hsa:6683 SPAST; spastin
  hsa:7273 TTN; titin
  hsa:7204 TRIO; trio Rho guanine nucleotide exchange factor
  hsa:7436 VLDLR; very low density lipoprotein receptor
  hsa:78989 COLEC11; collectin subfamily member 11
  hsa:79147 FKRP; fukutin related protein
  hsa:79109 MAPKAP1; MAPK associated protein 1
  hsa:81 ACTN4; actinin alpha 4
  hsa:8218 CLTCL1; clathrin heavy chain like 1
  hsa:83737 ITCH; itchy E3 ubiquitin protein ligase
  hsa:81573 ANKRD13C; ankyrin repeat domain 13C
  hsa:79890 RIN3; Ras and Rab interactor 3
  hsa:8120 AP3B2; adaptor related protein complex 3 subunit beta 2
  hsa:81609 SNX27; sorting nexin 27
  hsa:83696 TRAPPC9; trafficking protein particle complex subunit 9
  hsa:80055 
  hsa:80856 LNPK; lunapark, ER junction formation factor
  hsa:81704 DOCK8; dedicator of cytokinesis 8
  hsa:84812 PLCD4; phospholipase C delta 4
  hsa:8573 CASK; calcium/calmodulin dependent serine protein kinase
  hsa:8618 CADPS; calcium dependent secretion activator
  hsa:84894 LINGO1; leucine rich repeat and Ig domain containing 1
  hsa:84466 MEGF10; multiple EGF like domains 10
  hsa:84465 MEGF11; multiple EGF like domains 11
  hsa:84668 FAM126A; family with sequence similarity 126 member A
  hsa:8546 AP3B1; adaptor related protein complex 3 subunit beta 1
  hsa:84342 COG8; component of oligomeric golgi complex 8
  hsa:84700 MYO18B; myosin XVIIIB
  hsa:84317 CCDC115; coiled-coil domain containing 115
  hsa:8504 PEX3; peroxisomal biogenesis factor 3
  hsa:85440 DOCK7; dedicator of cytokinesis 7
  hsa:9256 TSPOAP1; TSPO associated protein 1
  hsa:9024 BRSK2; BR serine/threonine kinase 2
  hsa:8867 SYNJ1; synaptojanin 1
  hsa:867 CBL; Cbl proto-oncogene
  hsa:8766 RAB11A; RAB11A, member RAS oncogene family
  hsa:9230 RAB11B; RAB11B, member RAS oncogene family
  hsa:92344 GORAB; golgin, RAB6 interacting
  hsa:8853 ASAP2; ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
  hsa:91949 COG7; component of oligomeric golgi complex 7
  hsa:8905 AP1S2; adaptor related protein complex 1 subunit sigma 2
  hsa:9179 AP4M1; adaptor related protein complex 4 subunit mu 1
  hsa:9276 COPB2; COPI coat complex subunit beta 2
  hsa:8828 NRP2; neuropilin 2
  hsa:91875 TTC5; tetratricopeptide repeat domain 5
  hsa:89839 ARHGAP11B; Rho GTPase activating protein 11B
  hsa:8997 KALRN; kalirin RhoGEF kinase
  hsa:9699 RIMS2; regulating synaptic membrane exocytosis 2
  hsa:9783 RIMS3; regulating synaptic membrane exocytosis 3
  hsa:9378 NRXN1; neurexin 1
  hsa:9379 NRXN2; neurexin 2
  hsa:9369 NRXN3; neurexin 3
  hsa:93664 CADPS2; calcium dependent secretion activator 2
  hsa:9515 STXBP5L; syntaxin binding protein 5L
  hsa:9342 SNAP29; synaptosome associated protein 29
  hsa:9829 DNAJC6; DnaJ heat shock protein family (Hsp40) member C6
  hsa:9901 SRGAP3; SLIT-ROBO Rho GTPase activating protein 3
  hsa:9779 TBC1D5; TBC1 domain family member 5
  hsa:987 LRBA; LPS responsive beige-like anchor protein
  hsa:9897 WASHC5; WASH complex subunit 5
  hsa:9382 COG1; component of oligomeric golgi complex 1
  hsa:9853 RUSC2; RUN and SH3 domain containing 2
  hsa:93210 PGAP3; post-GPI attachment to proteins phospholipase 3
  hsa:9681 DEPDC5; DEP domain containing 5, GATOR1 subcomplex subunit
  hsa:9895 TECPR2; tectonin beta-propeller repeat containing 2
  hsa:9743 ARHGAP32; Rho GTPase activating protein 32
  hsa:9639 ARHGEF10; Rho guanine nucleotide exchange factor 10
  hsa:9732 DOCK4; dedicator of cytokinesis 4
  hsa:998 CDC42; cell division cycle 42
  hsa:9922 IQSEC1; IQ motif and Sec7 domain ArfGEF 1
  hsa:9958 USP15; ubiquitin specific peptidase 15

hsa03000 Transcription factors (175)

  hsa:10472 ZBTB18; zinc finger and BTB domain containing 18
  hsa:10524 KAT5; lysine acetyltransferase 5
  hsa:10265 IRX5; iroquois homeobox 5
  hsa:10522 DEAF1; DEAF1 transcription factor
  hsa:10664 CTCF; CCCTC-binding factor
  hsa:10743 RAI1; retinoic acid induced 1
  hsa:116113 FOXP4; forkhead box P4
  hsa:10716 TBR1; T-box brain transcription factor 1
  hsa:148979 GLIS1; GLIS family zinc finger 1
  hsa:147694 ZNF548; zinc finger protein 548
  hsa:1387 CREBBP; CREB binding protein
  hsa:1788 DNMT3A; DNA methyltransferase 3 alpha
  hsa:1789 DNMT3B; DNA methyltransferase 3 beta
  hsa:169792 GLIS3; GLIS family zinc finger 3
  hsa:170825 GSX2; GS homeobox 2
  hsa:1750 DLX6; distal-less homeobox 6
  hsa:1746 DLX2; distal-less homeobox 2
  hsa:1747 DLX3; distal-less homeobox 3
  hsa:170302 ARX; aristaless related homeobox
  hsa:158800 RHOXF1; Rhox homeobox family member 1
  hsa:1523 CUX1; cut like homeobox 1
  hsa:2100 ESR2; estrogen receptor 2
  hsa:2103 ESRRB; estrogen related receptor beta
  hsa:1960 EGR3; early growth response 3
  hsa:200424 TET3; tet methylcytosine dioxygenase 3
  hsa:2018 EMX2; empty spiracles homeobox 2
  hsa:2020 EN2; engrailed homeobox 2
  hsa:1997 ELF1; E74 like ETS transcription factor 1
  hsa:2077 ERF; ETS2 repressor factor
  hsa:2078 ERG; ETS transcription factor ERG
  hsa:2033 EP300; E1A binding protein p300
  hsa:22890 ZBTB1; zinc finger and BTB domain containing 1
  hsa:23090 ZNF423; zinc finger protein 423
  hsa:23040 MYT1L; myelin transcription factor 1 like
  hsa:22823 MTF2; metal response element binding transcription factor 2
  hsa:2290 FOXG1; forkhead box G1
  hsa:23152 CIC; capicua transcriptional repressor
  hsa:23261 CAMTA1; calmodulin binding transcription activator 1
  hsa:2355 FOSL2; FOS like 2, AP-1 transcription factor subunit
  hsa:256297 PTF1A; pancreas associated transcription factor 1a
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
  hsa:253738 EBF3; EBF transcription factor 3
  hsa:23414 ZFPM2; zinc finger protein, FOG family member 2
  hsa:23522 KAT6B; lysine acetyltransferase 6B
  hsa:23394 ADNP; activity dependent neuroprotector homeobox
  hsa:23316 CUX2; cut like homeobox 2
  hsa:23314 SATB2; SATB homeobox 2
  hsa:2627 GATA6; GATA binding protein 6
  hsa:27107 ZBTB11; zinc finger and BTB domain containing 11
  hsa:26137 ZBTB20; zinc finger and BTB domain containing 20
  hsa:27332 ZNF638; zinc finger protein 638
  hsa:27086 FOXP1; forkhead box P1
  hsa:2736 GLI2; GLI family zinc finger 2
  hsa:2737 GLI3; GLI family zinc finger 3
  hsa:30062 RAX; retina and anterior neural fold homeobox
  hsa:283078 MKX; mohawk homeobox
  hsa:30009 TBX21; T-box transcription factor 21
  hsa:367 
  hsa:3097 HIVEP2; HIVEP zinc finger 2
  hsa:340385 ZNF517; zinc finger protein 517
  hsa:349075 ZNF713; zinc finger protein 713
  hsa:3198 HOXA1; homeobox A1
  hsa:3516 RBPJ; recombination signal binding protein for immunoglobulin kappa J region
  hsa:4094 MAF; MAF bZIP transcription factor
  hsa:4335 MNT; MAX network transcriptional repressor
  hsa:4306 NR3C2; nuclear receptor subfamily 3 group C member 2
  hsa:4297 KMT2A; lysine methyltransferase 2A
  hsa:4152 MBD1; methyl-CpG binding domain protein 1
  hsa:4010 LMX1B; LIM homeobox transcription factor 1 beta
  hsa:4212 MEIS2; Meis homeobox 2
  hsa:4208 MEF2C; myocyte enhancer factor 2C
  hsa:4330 MN1; MN1 proto-oncogene, transcriptional regulator
  hsa:4861 NPAS1; neuronal PAS domain protein 1
  hsa:4862 NPAS2; neuronal PAS domain protein 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:4613 MYCN; MYCN proto-oncogene, bHLH transcription factor
  hsa:4774 NFIA; nuclear factor I A
  hsa:4781 NFIB; nuclear factor I B
  hsa:4784 NFIX; nuclear factor I X
  hsa:4929 NR4A2; nuclear receptor subfamily 4 group A member 2
  hsa:473 RERE; arginine-glutamic acid dipeptide repeats
  hsa:4520 MTF1; metal regulatory transcription factor 1
  hsa:4661 MYT1; myelin transcription factor 1
  hsa:4821 NKX2-2; NK2 homeobox 2
  hsa:4488 MSX2; msh homeobox 2
  hsa:5013 OTX1; orthodenticle homeobox 1
  hsa:5015 OTX2; orthodenticle homeobox 2
  hsa:463 ZFHX3; zinc finger homeobox 3
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:51341 ZBTB7A; zinc finger and BTB domain containing 7A
  hsa:5076 PAX2; paired box 2
  hsa:5077 PAX3; paired box 3
  hsa:5079 PAX5; paired box 5
  hsa:5080 PAX6; paired box 6
  hsa:5087 PBX1; PBX homeobox 1
  hsa:50943 FOXP3; forkhead box P3
  hsa:50945 TBX22; T-box transcription factor 22
  hsa:546 ATRX; ATRX chromatin remodeler
  hsa:5324 PLAG1; PLAG1 zinc finger
  hsa:53335 BCL11A; BAF chromatin remodeling complex subunit BCL11A
  hsa:54897 CASZ1; castor zinc finger 1
  hsa:54790 TET2; tet methylcytosine dioxygenase 2
  hsa:5307 PITX1; paired like homeodomain 1
  hsa:5455 POU3F3; POU class 3 homeobox 3
  hsa:5316 PKNOX1; PBX/knotted 1 homeobox 1
  hsa:54738 FEV; FEV transcription factor, ETS family member
  hsa:55079 FEZF2; FEZ family zinc finger 2
  hsa:55553 SOX6; SRY-box transcription factor 6
  hsa:57459 GATAD2B; GATA zinc finger domain containing 2B
  hsa:55906 ZC4H2; zinc finger C4H2-type containing
  hsa:5991 RFX3; regulatory factor X3
  hsa:5992 RFX4; regulatory factor X4
  hsa:5915 RARB; retinoic acid receptor beta
  hsa:6095 RORA; RAR related orphan receptor A
  hsa:6096 RORB; RAR related orphan receptor B
  hsa:57684 ZBTB26; zinc finger and BTB domain containing 26
  hsa:5978 REST; RE1 silencing transcription factor
  hsa:57616 TSHZ3; teashirt zinc finger homeobox 3
  hsa:59269 HIVEP3; HIVEP zinc finger 3
  hsa:58499 ZNF462; zinc finger protein 462
  hsa:6304 SATB1; SATB homeobox 1
  hsa:5934 RBL2; RB transcriptional corepressor like 2
  hsa:5813 PURA; purine rich element binding protein A
  hsa:6492 SIM1; SIM bHLH transcription factor 1
  hsa:64919 BCL11B; BAF chromatin remodeling complex subunit BCL11B
  hsa:63925 ZNF335; zinc finger protein 335
  hsa:6473 SHOX; short stature homeobox
  hsa:6496 SIX3; SIX homeobox 3
  hsa:6657 SOX2; SRY-box transcription factor 2
  hsa:6925 TCF4; transcription factor 4
  hsa:6938 TCF12; transcription factor 12
  hsa:7291 TWIST1; twist family bHLH transcription factor 1
  hsa:7030 TFE3; transcription factor binding to IGHM enhancer 3
  hsa:7067 THRA; thyroid hormone receptor alpha
  hsa:7068 THRB; thyroid hormone receptor beta
  hsa:7025 NR2F1; nuclear receptor subfamily 2 group F member 1
  hsa:6942 TCF20; transcription factor 20
  hsa:7080 NKX2-1; NK2 homeobox 1
  hsa:7050 TGIF1; TGFB induced factor homeobox 1
  hsa:6658 SOX3; SRY-box transcription factor 3
  hsa:6659 SOX4; SRY-box transcription factor 4
  hsa:6664 SOX11; SRY-box transcription factor 11
  hsa:6660 SOX5; SRY-box transcription factor 5
  hsa:6663 SOX10; SRY-box transcription factor 10
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:6749 SSRP1; structure specific recognition protein 1
  hsa:7343 UBTF; upstream binding transcription factor
  hsa:6899 TBX1; T-box transcription factor 1
  hsa:6909 TBX2; T-box transcription factor 2
  hsa:7421 VDR; vitamin D receptor
  hsa:7545 ZIC1; Zic family member 1
  hsa:7546 ZIC2; Zic family member 2
  hsa:7704 ZBTB16; zinc finger and BTB domain containing 16
  hsa:7528 YY1; YY1 transcription factor
  hsa:7701 ZNF142; zinc finger protein 142
  hsa:7707 ZNF148; zinc finger protein 148
  hsa:7552 ZNF711; zinc finger protein 711
  hsa:7566 ZNF18; zinc finger protein 18
  hsa:7849 PAX8; paired box 8
  hsa:83855 KLF16; Kruppel like factor 16
  hsa:7994 KAT6A; lysine acetyltransferase 6A
  hsa:8609 KLF7; Kruppel like factor 7
  hsa:84527 ZNF559; zinc finger protein 559
  hsa:84148 KAT8; lysine acetyltransferase 8
  hsa:84295 PHF6; PHD finger protein 6
  hsa:84504 NKX6-2; NK6 homeobox 2
  hsa:8929 PHOX2B; paired like homeobox 2B
  hsa:8820 HESX1; HESX homeobox 1
  hsa:9603 NFE2L3; NFE2 like bZIP transcription factor 3
  hsa:9915 ARNT2; aryl hydrocarbon receptor nuclear translocator 2
  hsa:9572 NR1D1; nuclear receptor subfamily 1 group D member 1
  hsa:9841 ZBTB24; zinc finger and BTB domain containing 24
  hsa:9757 KMT2B; lysine methyltransferase 2B
  hsa:9839 ZEB2; zinc finger E-box binding homeobox 2
  hsa:93986 FOXP2; forkhead box P2

hsa04147 Exosome (156)

  hsa:10059 DNM1L; dynamin 1 like
  hsa:10575 CCT4; chaperonin containing TCP1 subunit 4
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:10060 ABCC9; ATP binding cassette subfamily C member 9
  hsa:10844 TUBGCP2; tubulin gamma complex associated protein 2
  hsa:11151 CORO1A; coronin 1A
  hsa:112755 STX1B; syntaxin 1B
  hsa:10768 AHCYL1; adenosylhomocysteinase like 1
  hsa:10841 FTCD; formimidoyltransferase cyclodeaminase
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:1213 CLTC; clathrin heavy chain
  hsa:1200 TPP1; tripeptidyl peptidase 1
  hsa:137492 VPS37A; VPS37A subunit of ESCRT-I
  hsa:128239 IQGAP3; IQ motif containing GTPase activating protein 3
  hsa:1314 COPA; COPI coat complex subunit alpha
  hsa:1476 CSTB; cystatin B
  hsa:1284 COL4A2; collagen type IV alpha 2 chain
  hsa:1282 COL4A1; collagen type IV alpha 1 chain
  hsa:1778 DYNC1H1; dynein cytoplasmic 1 heavy chain 1
  hsa:1759 DNM1; dynamin 1
  hsa:1803 DPP4; dipeptidyl peptidase 4
  hsa:1636 ACE; angiotensin I converting enzyme
  hsa:1509 CTSD; cathepsin D
  hsa:1644 DDC; dopa decarboxylase
  hsa:1738 DLD; dihydrolipoamide dehydrogenase
  hsa:161 AP2A2; adaptor related protein complex 2 subunit alpha 2
  hsa:2027 ENO3; enolase 3
  hsa:1917 EEF1A2; eukaryotic translation elongation factor 1 alpha 2
  hsa:2195 FAT1; FAT atypical cadherin 1
  hsa:2194 FASN; fatty acid synthase
  hsa:192666 KRT24; keratin 24
  hsa:2182 ACSL4; acyl-CoA synthetase long chain family member 4
  hsa:203068 TUBB; tubulin beta class I
  hsa:191 AHCY; adenosylhomocysteinase
  hsa:203 AK1; adenylate kinase 1
  hsa:2184 FAH; fumarylacetoacetate hydrolase
  hsa:2243 FGA; fibrinogen alpha chain
  hsa:2108 ETFA; electron transfer flavoprotein subunit alpha
  hsa:2316 FLNA; filamin A
  hsa:2318 FLNC; filamin C
  hsa:22930 RAB3GAP1; RAB3 GTPase activating protein catalytic subunit 1
  hsa:22800 RRAS2; RAS related 2
  hsa:2315 MLANA; melan-A
  hsa:23002 DAAM1; dishevelled associated activator of morphogenesis 1
  hsa:2348 FOLR1; folate receptor alpha
  hsa:23545 ATP6V0A2; ATPase H+ transporting V0 subunit a2
  hsa:2517 FUCA1; alpha-L-fucosidase 1
  hsa:23784 POTEH; POTE ankyrin domain family member H
  hsa:2664 GDI1; GDP dissociation inhibitor 1
  hsa:2683 B4GALT1; beta-1,4-galactosyltransferase 1
  hsa:2632 GBE1; 1,4-alpha-glucan branching enzyme 1
  hsa:2710 GK; glycerol kinase
  hsa:2720 GLB1; galactosidase beta 1
  hsa:26227 PHGDH; phosphoglycerate dehydrogenase
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:301 ANXA1; annexin A1
  hsa:2778 GNAS; GNAS complex locus
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:3020 H3-3A; H3.3 histone A
  hsa:2752 GLUL; glutamate-ammonia ligase
  hsa:2937 GSS; glutathione synthetase
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:2775 GNAO1; G protein subunit alpha o1
  hsa:2760 GM2A; GM2 ganglioside activator
  hsa:3028 HSD17B10; hydroxysteroid 17-beta dehydrogenase 10
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:375 ARF1; ADP ribosylation factor 1
  hsa:3115 HLA-DPB1; major histocompatibility complex, class II, DP beta 1
  hsa:3123 HLA-DRB1; major histocompatibility complex, class II, DR beta 1
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:3329 HSPD1; heat shock protein family D (Hsp60) member 1
  hsa:3615 IMPDH2; inosine monophosphate dehydrogenase 2
  hsa:343413 FCRL6; Fc receptor like 6
  hsa:353288 KRT26; keratin 26
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:3176 HNMT; histamine N-methyltransferase
  hsa:3242 HPD; 4-hydroxyphenylpyruvate dioxygenase
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3339 HSPG2; heparan sulfate proteoglycan 2
  hsa:340024 SLC6A19; solute carrier family 6 member 19
  hsa:339122 RAB43; RAB43, member RAS oncogene family
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:4155 MBP; myelin basic protein
  hsa:3827 KNG1; kininogen 1
  hsa:3920 LAMP2; lysosomal associated membrane protein 2
  hsa:415 ARSL; arylsulfatase L
  hsa:427 ASAH1; N-acylsphingosine amidohydrolase 1
  hsa:435 ASL; argininosuccinate lyase
  hsa:4643 MYO1E; myosin IE
  hsa:476 ATP1A1; ATPase Na+/K+ transporting subunit alpha 1
  hsa:477 ATP1A2; ATPase Na+/K+ transporting subunit alpha 2
  hsa:478 ATP1A3; ATPase Na+/K+ transporting subunit alpha 3
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:5048 PAFAH1B1; platelet activating factor acetylhydrolase 1b regulatory subunit 1
  hsa:4669 NAGLU; N-acetyl-alpha-glucosaminidase
  hsa:471 ATIC; 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
  hsa:5054 SERPINE1; serpin family E member 1
  hsa:4627 MYH9; myosin heavy chain 9
  hsa:4628 MYH10; myosin heavy chain 10
  hsa:5119 CHMP1A; charged multivesicular body protein 1A
  hsa:5092 PCBD1; pterin-4 alpha-carbinolamine dehydratase 1
  hsa:5230 PGK1; phosphoglycerate kinase 1
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:5354 PLP1; proteolipid protein 1
  hsa:5444 PON1; paraoxonase 1
  hsa:535 ATP6V0A1; ATPase H+ transporting V0 subunit a1
  hsa:526 ATP6V1B2; ATPase H+ transporting V1 subunit B2
  hsa:54862 CC2D1A; coiled-coil and C2 domain containing 1A
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5754 PTK7; protein tyrosine kinase 7 (inactive)
  hsa:5660 PSAP; prosaposin
  hsa:60 ACTB; actin beta
  hsa:5862 RAB2A; RAB2A, member RAS oncogene family
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:6092 ROBO2; roundabout guidance receptor 2
  hsa:71 ACTG1; actin gamma 1
  hsa:7094 TLN1; talin 1
  hsa:7102 TSPAN7; tetraspanin 7
  hsa:721 C4B; complement C4B (Chido blood group)
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:6697 SPR; sepiapterin reductase
  hsa:7273 TTN; titin
  hsa:6812 STXBP1; syntaxin binding protein 1
  hsa:7007 TECTA; tectorin alpha
  hsa:70 ACTC1; actin alpha cardiac muscle 1
  hsa:7106 
  hsa:7167 TPI1; triosephosphate isomerase 1
  hsa:7531 YWHAE; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:760 CA2; carbonic anhydrase 2
  hsa:7841 MOGS; mannosyl-oligosaccharide glucosidase
  hsa:79784 MYH14; myosin heavy chain 14
  hsa:8218 CLTCL1; clathrin heavy chain like 1
  hsa:81 ACTN4; actinin alpha 4
  hsa:84100 ARL6; ADP ribosylation factor like GTPase 6
  hsa:80781 COL18A1; collagen type XVIII alpha 1 chain
  hsa:8450 CUL4B; cullin 4B
  hsa:86 ACTL6A; actin like 6A
  hsa:8665 EIF3F; eukaryotic translation initiation factor 3 subunit F
  hsa:9230 RAB11B; RAB11B, member RAS oncogene family
  hsa:8970 H2BC11; H2B clustered histone 11
  hsa:8997 KALRN; kalirin RhoGEF kinase
  hsa:8803 SUCLA2; succinate-CoA ligase ADP-forming subunit beta
  hsa:8766 RAB11A; RAB11A, member RAS oncogene family
  hsa:9276 COPB2; COPI coat complex subunit beta 2
  hsa:9777 TM9SF4; transmembrane 9 superfamily member 4
  hsa:95 ACY1; aminoacylase 1
  hsa:998 CDC42; cell division cycle 42

hsa04121 Ubiquitin system (112)

  hsa:10055 SAE1; SUMO1 activating enzyme subunit 1
  hsa:10075 HUWE1; HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
  hsa:10273 STUB1; STIP1 homology and U-box containing protein 1
  hsa:10293 TRAIP; TRAF interacting protein
  hsa:10116 FEM1B; fem-1 homolog B
  hsa:10617 STAMBP; STAM binding protein
  hsa:11059 WWP1; WW domain containing E3 ubiquitin protein ligase 1
  hsa:11342 RNF13; ring finger protein 13
  hsa:11275 KLHL2; kelch like family member 2
  hsa:112939 NACC1; nucleus accumbens associated 1
  hsa:1161 ERCC8; ERCC excision repair 8, CSA ubiquitin ligase complex subunit
  hsa:11160 ERLIN2; ER lipid raft associated 2
  hsa:143279 HECTD2; HECT domain E3 ubiquitin protein ligase 2
  hsa:121551 BTBD11; BTB domain containing 11
  hsa:142686 ASB14; ankyrin repeat and SOCS box containing 14
  hsa:152006 RNF38; ring finger protein 38
  hsa:154881 KCTD7; potassium channel tetramerization domain containing 7
  hsa:161725 OTUD7A; OTU deubiquitinase 7A
  hsa:197131 UBR1; ubiquitin protein ligase E3 component n-recognin 1
  hsa:205564 SENP5; SUMO specific peptidase 5
  hsa:22954 TRIM32; tripartite motif containing 32
  hsa:23291 FBXW11; F-box and WD repeat domain containing 11
  hsa:22890 ZBTB1; zinc finger and BTB domain containing 1
  hsa:23221 RHOBTB2; Rho related BTB domain containing 2
  hsa:23327 NEDD4L; NEDD4 like E3 ubiquitin protein ligase
  hsa:254170 FBXO33; F-box protein 33
  hsa:253980 KCTD13; potassium channel tetramerization domain containing 13
  hsa:254065 BRWD3; bromodomain and WD repeat domain containing 3
  hsa:26224 FBXL3; F-box and leucine rich repeat protein 3
  hsa:26235 FBXL4; F-box and leucine rich repeat protein 4
  hsa:26262 TSPAN17; tetraspanin 17
  hsa:27107 ZBTB11; zinc finger and BTB domain containing 11
  hsa:26137 ZBTB20; zinc finger and BTB domain containing 20
  hsa:26054 SENP6; SUMO specific peptidase 6
  hsa:283450 HECTD4; HECT domain E3 ubiquitin protein ligase 4
  hsa:28952 CCDC22; coiled-coil domain containing 22
  hsa:373 TRIM23; tripartite motif containing 23
  hsa:344558 SH3RF3; SH3 domain containing ring finger 3
  hsa:3652 IPP; intracisternal A particle-promoted polypeptide
  hsa:4281 MID1; midline 1
  hsa:389856 USP27X; ubiquitin specific peptidase 27 X-linked
  hsa:4591 TRIM37; tripartite motif containing 37
  hsa:51569 UFM1; ubiquitin fold modifier 1
  hsa:51506 UFC1; ubiquitin-fold modifier conjugating enzyme 1
  hsa:51366 UBR5; ubiquitin protein ligase E3 component n-recognin 5
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:51592 TRIM33; tripartite motif containing 33
  hsa:51132 RLIM; ring finger protein, LIM domain interacting
  hsa:51588 PIAS4; protein inhibitor of activated STAT 4
  hsa:51725 FBXO40; F-box protein 40
  hsa:51341 ZBTB7A; zinc finger and BTB domain containing 7A
  hsa:51133 KCTD3; potassium channel tetramerization domain containing 3
  hsa:51185 CRBN; cereblon
  hsa:51343 FZR1; fizzy and cell division cycle 20 related 1
  hsa:51633 OTUD6B; OTU deubiquitinase 6B
  hsa:5192 PEX10; peroxisomal biogenesis factor 10
  hsa:5193 PEX12; peroxisomal biogenesis factor 12
  hsa:54941 RNF125; ring finger protein 125
  hsa:55023 PHIP; pleckstrin homology domain interacting protein
  hsa:57448 BIRC6; baculoviral IAP repeat containing 6
  hsa:57154 SMURF1; SMAD specific E3 ubiquitin protein ligase 1
  hsa:57531 HACE1; HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
  hsa:57520 HECW2; HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
  hsa:57534 MIB1; MIB E3 ubiquitin protein ligase 1
  hsa:55975 KLHL7; kelch like family member 7
  hsa:5828 PEX2; peroxisomal biogenesis factor 2
  hsa:57674 RNF213; ring finger protein 213
  hsa:57684 ZBTB26; zinc finger and BTB domain containing 26
  hsa:6477 SIAH1; siah E3 ubiquitin protein ligase 1
  hsa:64219 PJA1; praja ring finger ubiquitin ligase 1
  hsa:64320 RNF25; ring finger protein 25
  hsa:64682 ANAPC1; anaphase promoting complex subunit 1
  hsa:7319 UBE2A; ubiquitin conjugating enzyme E2 A
  hsa:7328 UBE2H; ubiquitin conjugating enzyme E2 H
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
  hsa:672 BRCA1; BRCA1 DNA repair associated
  hsa:675 BRCA2; BRCA2 DNA repair associated
  hsa:79876 UBA5; ubiquitin like modifier activating enzyme 5
  hsa:79699 ZYG11B; zyg-11 family member B, cell cycle regulator
  hsa:7704 ZBTB16; zinc finger and BTB domain containing 16
  hsa:7874 USP7; ubiquitin specific peptidase 7
